timestamp,source,container,metric,value
1784531737.8950663,kg_service,,ram_percent,26.6
1784531737.8950663,kg_service,,gpu_percent,0.0
1784531740.05336,rag_service,,cpu_percent,0.0
1784531740.05336,rag_service,,ram_used_mb,2039.3515625
1784531740.05336,rag_service,,ram_percent,26.7
1784531740.05336,rag_service,,gpu_percent,0.0
1784531740.0808632,kg_service,,cpu_percent,22.0
1784531740.0808632,kg_service,,ram_used_mb,2038.1640625
1784531740.0808632,kg_service,,ram_percent,26.7
1784531740.0808632,kg_service,,gpu_percent,0.0
1784531742.3211687,rag_service,,cpu_percent,1.2
1784531742.3211687,rag_service,,ram_used_mb,2040.3203125
1784531742.3211687,rag_service,,ram_percent,26.7
1784531742.3211687,rag_service,,gpu_percent,0.0
1784531742.3405495,kg_service,,cpu_percent,3.7
1784531742.3405495,kg_service,,ram_used_mb,2039.34375
1784531742.3405495,kg_service,,ram_percent,26.7
1784531742.3405495,kg_service,,gpu_percent,0.0
1784531744.5122936,rag_service,,cpu_percent,0.6
1784531744.5122936,rag_service,,ram_used_mb,2040.31640625
1784531744.5122936,rag_service,,ram_percent,26.7
1784531744.5122936,rag_service,,gpu_percent,0.0
1784531744.5472713,kg_service,,cpu_percent,1.2
1784531744.5472713,kg_service,,ram_used_mb,2040.31640625
1784531744.5472713,kg_service,,ram_percent,26.7
1784531744.5472713,kg_service,,gpu_percent,0.0
1784531747.2912803,rag_service,,cpu_percent,0.0
1784531747.2912803,rag_service,,ram_used_mb,2040.0234375
1784531747.2912803,rag_service,,ram_percent,26.7
1784531747.2912803,rag_service,,gpu_percent,0.0
1784531747.4119787,kg_service,,cpu_percent,0.6
1784531747.4119787,kg_service,,ram_used_mb,2040.0234375
1784531747.4119787,kg_service,,ram_percent,26.7
1784531747.4119787,kg_service,,gpu_percent,0.0
1784531749.7153718,rag_service,,cpu_percent,1.2
1784531749.7153718,rag_service,,ram_used_mb,2040.7421875
1784531749.7153718,rag_service,,ram_percent,26.7
1784531749.7153718,rag_service,,gpu_percent,0.0
1784531749.7317069,kg_service,,cpu_percent,0.0
1784531749.7317069,kg_service,,ram_used_mb,2040.7421875
1784531749.7317069,kg_service,,ram_percent,26.7
1784531749.7317069,kg_service,,gpu_percent,0.0
1784531751.9542875,rag_service,,cpu_percent,0.6
1784531751.9542875,rag_service,,ram_used_mb,2040.640625
1784531751.9542875,rag_service,,ram_percent,26.7
1784531751.9542875,rag_service,,gpu_percent,0.0
1784531751.9734054,kg_service,,cpu_percent,0.6
1784531751.9734054,kg_service,,ram_used_mb,2040.640625
1784531751.9734054,kg_service,,ram_percent,26.7
1784531751.9734054,kg_service,,gpu_percent,0.0
1784531754.1051145,rag_service,,cpu_percent,0.6
1784531754.1051145,rag_service,,ram_used_mb,2040.640625
1784531754.1051145,rag_service,,ram_percent,26.7
1784531754.1051145,rag_service,,gpu_percent,0.0
1784531754.122307,kg_service,,cpu_percent,0.0
1784531754.122307,kg_service,,ram_used_mb,2040.640625
1784531754.122307,kg_service,,ram_percent,26.7
1784531754.122307,kg_service,,gpu_percent,0.0
1784531756.3627398,rag_service,,cpu_percent,0.0
1784531756.3627398,rag_service,,ram_used_mb,2040.8828125
1784531756.3627398,rag_service,,ram_percent,26.7
1784531756.3627398,rag_service,,gpu_percent,0.0
1784531756.384557,kg_service,,cpu_percent,1.2
1784531756.384557,kg_service,,ram_used_mb,2040.8828125
1784531756.384557,kg_service,,ram_percent,26.7
1784531756.384557,kg_service,,gpu_percent,0.0
1784531758.916854,rag_service,,cpu_percent,0.6
1784531758.916854,rag_service,,ram_used_mb,2040.859375
1784531758.916854,rag_service,,ram_percent,26.7
1784531758.916854,rag_service,,gpu_percent,0.0
1784531758.9345293,kg_service,,cpu_percent,0.6
1784531758.9345293,kg_service,,ram_used_mb,2040.859375
1784531758.9345293,kg_service,,ram_percent,26.7
1784531758.9345293,kg_service,,gpu_percent,0.0
1784531761.1356356,rag_service,,cpu_percent,0.6
1784531761.1356356,rag_service,,ram_used_mb,2041.0546875
1784531761.1356356,rag_service,,ram_percent,26.7
1784531761.1356356,rag_service,,gpu_percent,0.0
1784531761.1552083,kg_service,,cpu_percent,0.6
1784531761.1552083,kg_service,,ram_used_mb,2038.515625
1784531761.1552083,kg_service,,ram_percent,26.7
1784531761.1552083,kg_service,,gpu_percent,0.0
1784531763.4573522,rag_service,,cpu_percent,0.0
1784531763.4573522,rag_service,,ram_used_mb,2038.5078125
1784531763.4573522,rag_service,,ram_percent,26.7
1784531763.4573522,rag_service,,gpu_percent,0.0
1784531763.4767518,kg_service,,cpu_percent,0.0
1784531763.4767518,kg_service,,ram_used_mb,2038.5078125
1784531763.4767518,kg_service,,ram_percent,26.7
1784531763.4767518,kg_service,,gpu_percent,0.0
1784531765.5787616,rag_service,,cpu_percent,0.0
1784531765.5787616,rag_service,,ram_used_mb,2038.5078125
1784531765.5787616,rag_service,,ram_percent,26.7
1784531765.5787616,rag_service,,gpu_percent,0.0
1784531765.5984223,kg_service,,cpu_percent,0.0
1784531765.5984223,kg_service,,ram_used_mb,2038.5078125
1784531765.5984223,kg_service,,ram_percent,26.7
1784531765.5984223,kg_service,,gpu_percent,0.0
1784531768.134854,rag_service,,cpu_percent,0.6
1784531768.134854,rag_service,,ram_used_mb,2047.64453125
1784531768.134854,rag_service,,ram_percent,26.8
1784531768.134854,rag_service,,gpu_percent,0.0
1784531768.1516895,kg_service,,cpu_percent,0.0
1784531768.1516895,kg_service,,ram_used_mb,2047.64453125
1784531768.1516895,kg_service,,ram_percent,26.8
1784531768.1516895,kg_service,,gpu_percent,0.0
1784531770.2905571,rag_service,,cpu_percent,1.2
1784531770.2905571,rag_service,,ram_used_mb,2049.3515625
1784531770.2905571,rag_service,,ram_percent,26.8
1784531770.2905571,rag_service,,gpu_percent,0.0
1784531770.3078685,kg_service,,cpu_percent,0.0
1784531770.3078685,kg_service,,ram_used_mb,2049.3515625
1784531770.3078685,kg_service,,ram_percent,26.8
1784531770.3078685,kg_service,,gpu_percent,0.0
